,Alloy System,Composition,Processing Condition,SS or IM,Phases,# EL,# Phases,Property,References
327,AlCoCuFeNiZr,AlCoCuFeNiZr,AC,SS+IM,FCC+B2+D2b,6.0,3,,31
328,AlCoCuNi,AlCoCuNi,AC,SS,BCC+FCC,4.0,2,,25
329,AlCoCuNiTiZn,AlCoCuNiTiZn,MA+VHP,SS,BCC+2FCC,6.0,3,H,69
330,AlCoFeMoNi,AlCoFeMo0.5Ni,AC,IM,B2+σ,5.0,2,H,41
331,AlCoFeNi,Al0.25CoFeNi,AC,SS,FCC,4.0,1,"H, M, MAG, R",70
332,,Al0.5CoFeNi,AC,SS+IM,FCC+B2,4.0,2,"H, M, MAG, R",70
333,,Al0.75CoFeNi,AC,SS+IM,FCC+B2,4.0,2,"H, M, MAG, R",70
334,,AlCoFeNi,AC,IM,B2,4.0,1,"H, M, MAG, R",70
335,AlCoFeNiTi,Al0.6CoFeNiTi0.4,SPS,SS+IM,FCC+B2+Unk,5.0,3,"H, M",71
336,,AlCoFeNiTi,AC,SS,BCC,5.0,1,,68
337,AlCrCuFeMnNi,Al0.3CrCuFeMnNi,AC,SS,BCC+2FCC,6.0,3,H,10
338,,Al0.5CrCuFeMnNi,AC,SS,2BCC+FCC,6.0,3,H,10
339,,Al0.8CrCuFeMnNi,AC,SS,2BCC+FCC,6.0,3,H,10
340,,Al0.8CrCuFeMn1.5Ni,AC,SS,2BCC,6.0,2,H,10
341,,Al0.8CrCuFe1.5MnNi,AC,SS,2BCC+FCC,6.0,3,H,10
342,,Al0.8CrCu1.5FeMnNi,AC,SS,BCC+FCC,6.0,2,H,10
343,,AlCrCuFeMnNi,AC,SS,2BCC,6.0,2,H,10
344,AlCrCuFeNi,Al0.2CrCuFeNi,AC,SS,FCC,5.0,1,H,72
345,,Al0.2CrCuFeNi2,AC,SS,FCC,5.0,1,,73
346,,Al0.4CrCuFeNi,AC,SS,FCC,5.0,1,H,72
347,,Al0.4CrCuFeNi2,AC,SS,FCC,5.0,1,,73
348,,Al0.5CrCuFeNi,AC,SS,FCC,5.0,1,H,72
349,,Al0.6CrCuFeNi2,AC,SS,FCC,5.0,1,,73
350,,Al0.7CrCuFeNi,AC,SS,FCC,5.0,1,H,72
351,,Al0.8CrCuFeNi,AC,SS,BCC+FCC,5.0,2,H,72
352,,Al0.8CrCuFeNi2,AC,SS,FCC,5.0,1,,73
353,,Al0.9CrCuFeNi,AC,SS+IM,BCC+FCC+B2,5.0,3,H,72
354,,AlCrCu0.5FeNi,AC,SS+IM,BCC+B2,5.0,2,,2
355,,AlCrCuFeNi0.6,AC,SS+IM,FCC+B2,5.0,2,"H, M",74
356,,AlCrCuFeNi0.8,AC,SS+IM,FCC+B2,5.0,2,"H, M",74
357,,AlCrCuFeNi,AC,SS+IM,FCC+B2,5.0,2,"H, M",74
358,,AlCrCuFeNi1.2,AC,SS+IM,FCC+B2,5.0,2,"H, M",74
359,,AlCrCuFeNi1.4,AC,SS+IM,FCC+B2,5.0,2,"H, M",74
360,,AlCrCuFeNi2,AC,SS,BCC+FCC,5.0,2,,73
361,,Al1.2CrCuFeNi,AC,SS+IM,BCC+FCC+B2,5.0,3,H,72
362,,Al1.2CrCuFeNi2,AC,SS,BCC+FCC,5.0,2,,73
363,,Al1.5CrCuFeNi,AC,SS+IM,BCC+B2,5.0,2,H,72
364,,Al1.8CrCuFeNi,AC,SS+IM,BCC+B2,5.0,2,H,72
365,,Al2.0CrCuFeNi,AC,SS+IM,BCC+B2,5.0,2,H,72
366,,Al2.2CrCuFeNi,AC,SS+IM,BCC+B2,5.0,2,H,72
367,,Al2.5CrCuFeNi,AC,SS+IM,BCC+B2,5.0,2,H,72
368,AlCrCuFeNiTi,AlCr0.5CuFeNiTi,AC,SS+IM,FCC+B2,6.0,2,"H, M",75
369,,AlCrCuFeNiTi,AC,SS+IM,FCC+B2,6.0,2,"H, M",75
370,,,AC,SS+IM,2BCC+C14,6.0,3,"H, M, DSC",76
371,,,AC+500/4h/FC,SS+IM,2BCC+C14,6.0,3,"H, M, DSC",76
372,,AlCr1.5CuFeNiTi,AC,SS+IM,FCC+B2,6.0,2,"H,M",75
373,,AlCr2CuFeNiTi,AC,SS+IM,FCC+B2,6.0,2,"H,M",75
374,,AlCr3CuFeNiTi,AC,SS+IM,FCC+B2,6.0,2,"H,M",75
375,AlCrFeMnNi,Al0.3CrFe1.5MnNi0.5,AC,SS,BCC+FCC,5.0,2,C,77
376,,,AC,SS+IM,BCC+FCC+B2,5.0,3,"H, OX, W",78
377,,,AC+1100C/2h/FC,SS+IM,BCC+FCC+B2,5.0,3,"H, OX, W",78
378,,,AC+700C/20h/FC,SS+IM,BCC+FCC+IM,5.0,3,"H, OX, W",78
379,,,AC,SS,BCC+FCC,5.0,2,H,37
380,,,AC+700C/20h,SS+IM,BCC+FCC+σ,5.0,3,H,37
381,,Al0.5CrFe1.5MnNi0.5,AC,SS,BCC,5.0,1,C,77
382,,,AC,SS+IM,2BCC+B2,5.0,3,"H,O X, W",78
383,,,AC+FOR/1200C(50%)+1100C/6h/AC,SS+IM,2BCC+B2,5.0,3,"H, OX, W",78
384,,,AC+700C/20h/FC,SS+IM,2BCC+B2+IM,5.0,4,"H, OX, W",78
385,,,AC,SS,BCC,5.0,1,H,37
386,,,AC+700C/20h,SS+IM,BCC+σ,5.0,2,H,37
387,,Al0.8CrFe1.5MnNi0.5,AC,SS,BCC,5.0,1,H,37
388,,,AC+700C/20h,SS,BCC,5.0,1,H,37
389,,Al1.2CrFe1.5MnNi0.5,AC,SS,BCC,5.0,1,H,37
390,,,AC+700C/20h,SS+IM,BCC+B2,5.0,2,H,37
391,AlCrFeMoNi,AlCrFeMo0.2Ni,AC,SS+IM,BCC+B2,5.0,2,"H, M",79
392,,AlCrFeMo0.5Ni,AC,SS+IM,BCC+B2,5.0,2,"H, M",79
393,,AlCrFeMo0.8Ni,AC,IM,B2+σ,5.0,2,"H, M",79
394,,AlCrFeMoNi,AC,IM,B2+σ,5.0,2,"H, M",79
395,AlCrFeNi,Al0.15CrFe1.5Ni0.5,AC,SS,2BCC,4.0,2,H,80
396,,Al0.2CrFe1.5Ni0.5,AC,SS,2BCC,4.0,2,H,80
397,,Al0.3CrFe1.5Ni0.5,AC,IM,B2,4.0,1,H,80
398,,Al0.4CrFe1.5Ni0.5,AC,IM,B2,4.0,1,H,80
399,,AlCrFeNi,AC,SS+IM,BCC+B2,4.0,2,"H, M",79
400,AlCrFeNiTiV,Al0.5CrFeNiTiV,AC+700C/20h,IM,C15+L21,6.0,2,H,37
401,CoCrCuFeMn,CoCrCuFeMn,AC+850C/72h,SS,2FCC,5.0,2,,81
402,CoCrCuFeMnNi,CoCrCuFeMnNi,AC,SS,FCC,6.0,1,H,82
403,CoCrCuFeMnNiTiV,CoCrCuFeMnNiTiV,AC,SS+IM,2BCC+FCC+σ+Unk,8.0,5,M,5
404,CoCrCuFeNi,CoCrCu0.5FeNi,AC,SS,FCC,5.0,1,C,83
405,,,AC,SS,2FCC,5.0,2,,2
406,,,AC,SS,3FCC,5.0,3,H,84
407,,,AC+1050C/1h+1250/24h,SS,3FCC,5.0,3,H,84
408,,,AC+1050C/1h+1350/24h,SS,2FCC,5.0,2,H,84
409,,,AC,SS,3FCC,5.0,3,"H, C",85
410,,,AC+1050C/1h+1250/24h/WQ,SS,3FCC,5.0,3,"H, C",85
411,,,AC+1050C/1h+1350/24h/WQ,SS,3FCC,5.0,3,"H, C",85
412,,CoCrCuFeNi,AC,SS,FCC,5.0,1,"H, M",9
413,,,AC,SS,FCC,5.0,1,H,12
414,,,AC,SS,FCC,5.0,1,C,83
415,,,AC,SS,FCC,5.0,1,H,10
416,,,AC,SS,2FCC,5.0,2,"DSC, M, MAG",86
417,,,AC,SS,FCC,5.0,1,M,7
418,,,MA+SPS,SS+IM,2FCC+σ,5.0,3,H,3
419,CoCrCuFeNiTi,CoCrCuFeNiTi0.5,AC,SS,2FCC,6.0,2,"DSC, M, MAG",86
420,,,AC,SS,2FCC,6.0,2,M,33
421,,CoCrCuFeNiTi0.8,AC,SS+IM,FCC+C14,6.0,2,"DSC, M, MAG",86
422,,CoCrCuFeNiTi,AC,SS+IM,FCC+C14,6.0,2,"DSC, M, MAG",86
423,,CoCrCuFeNiTi2.5,AC,IM,Unk,6.0,≥3,,24
424,CoCrFeGeMnNi,CoCrFeGeMnNi,AC,SS,BCC+FCC,6.0,2,H,82
425,CoCrFeMn,Co0.25Cr0.25FeMn,AC,SS,FCC,4.0,1,MT,87
426,,,AC+HR/900C(50%)+1200C/2h/WQ,SS,FCC,4.0,1,MT,87
427,CoCrFeMnNbNi,CoCrFeMnNbNi,AC,SS,FCC,6.0,1,H,82
428,CoCrFeMnNi,Co0.5CrFeMn1.5Ni,AC+700C/20h,SS+IM,FCC+σ,5.0,2,H,37
429,,CoCr0.4Fe8Mn5.4Ni5.2,AC,SS,FCC,5.0,1,"DSC, MT",88
430,,,AC+HR/900C(50%)+1200C/2h/WQ,SS,FCC,5.0,1,"DSC, MT",88
431,,,AC+HR/900C(50%)+1200C/2h/WQ+CR(64%)+900C/10min,SS,FCC,5.0,1,"DSC, MT",88
432,,CoCr0.75FeMn0.75Ni,AC+700C/20h,SS,FCC,5.0,1,H,37
433,,CoCrFe0.5Mn0.5Ni1.5,AC+700C/20h,SS,FCC,5.0,1,H,37
434,,CoCrFeMnNi,AC,SS,FCC,5.0,1,H,82
435,,,AC+1000C/72h,SS,FCC,5.0,1,,81
436,,,AC,SS,FCC,5.0,1,"H, MT",36
437,,,AC+1200/24h/WQ,SS,FCC,5.0,1,H,89
438,,,AC+1200C/48h,SS,FCC,5.0,1,"H, MT",90
439,,,AC+1200C/48h+HPT+450C/5min,SS+IM,BCC+FCC+IM,5.0,3,"H, MT",90
440,,,AC+1200C/48h+HPT+450C/1h,SS+IM,BCC+FCC+IM,5.0,3,"H, MT",90
441,,,AC+1200C/48h+HPT+450C/15h,SS+IM,BCC+FCC+2IM,5.0,4,"H, MT",90
442,,,AC+1200C/48h+HPT+600C/1h,SS+IM,FCC+IM,5.0,2,"H, MT",90
443,,,AC+1200C/48h+HPT+700C/1h,SS+IM,FCC+IM,5.0,2,"H, MT",90
444,,,AC+1200C/48h+HPT+800C/1h,SS,FCC,5.0,1,"H, MT",90
445,,,AC+1000C/24h+CR(80%)+1100C/1h,SS,FCC,5.0,1,"H, MT",91
446,,,AC+1000C/24h+CR(80%)+575C/1h,SS,FCC,5.0,1,"H, MT",91
447,,,AC,SS,FCC,5.0,1,"H, M",92
448,,,AC+1000C/24h,SS,FCC,5.0,1,"H, M",92
449,,CoCr1.25FeMn0.25Ni,AC+700C/20h,SS,FCC,5.0,1,H,37
450,,CoCr1.3FeMnNi0.7,AC+1000C/24h+CR(80%)+1100C/1h,SS,FCC,5.0,1,"H, MT",91
451,,,AC+1000C/24h+CR(80%)+800C/1h,SS,FCC,5.0,1,"H, MT",91
452,,,AC+1000C/24h+CR(80%)+700C/1h,SS+IM,FCC+σ,5.0,2,"H, MT",91
453,,,AC+1000C/24h+CR(80%)+575C/1h,SS+IM,FCC+σ,5.0,2,"H, MT",91
454,,Co1.4CrFeMnNi,AC+1000C/24h+CR(80%)+1100C/1h,SS,FCC,5.0,1,"H, MT",91
455,,,AC+1000C/24h+CR(80%)+575C/1h,SS,FCC,5.0,1,"H, MT",91
456,,Co1.5Cr0.5FeMn0.5Ni,AC+700C/20h,SS,FCC,5.0,1,H,37
457,CoCrFeMnNiTi,CoCrFeMnNiTi,AC,SS,BCC+FCC,6.0,2,H,82
458,CoCrFeMnNiV,CoCrFeMnNiV0.25,AC,SS,FCC,6.0,1,"H, M",92
459,,,AC+1000C/24h,SS+IM,FCC+σ,6.0,2,"H, M",92
460,,CoCrFeMnNiV0.5,AC,SS+IM,FCC+σ,6.0,2,"H, M",92
461,,,AC+1000C/24h,SS+IM,FCC+σ,6.0,2,"H, M",92
462,,CoCrFeMnNiV0.75,AC,SS+IM,FCC+σ,6.0,2,"H, M",92
463,,,AC+1000C/24h,SS+IM,FCC+σ,6.0,2,"H, M",92
464,,CoCrFeMnNiV,AC,SS,BCC+FCC,6.0,2,H,82
465,,,AC,SS+IM,FCC+σ,6.0,2,"H, M",92
466,,,AC+1000C/24h,SS+IM,FCC+σ,6.0,2,"H, M",92
467,CoCrFeMoNi,CoCrFeMo0.3Ni,AC,SS,FCC,5.0,1,,38
468,,,AM,SS+IM,FCC+σ,5.0,2,"H, M",93
469,,CoCrFeMo0.5Ni,AM,SS+IM,FCC+σ,5.0,2,"H, M",93
470,,CoCrFeMo0.85Ni,AM,SS+IM,FCC+σ+D85,5.0,3,"H, M",93
471,CoCrFeMoNiTi,Co1.5CrFeMo0.1Ni1.5Ti0.5,AC,SS,FCC,6.0,1,C,94
472,,Co1.5CrFeMo0.5Ni1.5Ti0.5,AC,SS+IM,FCC+σ,6.0,2,C,94
473,,Co1.5CrFeMo0.8Ni1.5Ti0.5,AC,SS+IM,FCC+σ,6.0,2,C,94
474,CoCrFeNbNi,CoCrFeNb0.103Ni,AC,SS+IM,FCC+C14,5.0,2,MT,95
475,,CoCrFeNb0.155Ni,AC,SS+IM,FCC+C14,5.0,2,MT,95
476,,CoCrFeNb0.206Ni,AC,SS+IM,FCC+C14,5.0,2,MT,95
477,,CoCrFeNb0.309Ni,AC,SS+IM,FCC+C14,5.0,2,MT,95
478,,CoCrFeNb0.412Ni,AC,SS+IM,FCC+C14,5.0,2,MT,95
479,CoCrFeNi,CoCrFeNi,AC,SS,2FCC,4.0,2,C,83
480,,,AC,SS,FCC,4.0,1,H,47
481,,,AC+1100C/24h/WQ,SS,FCC,4.0,1,H,47
482,,,AC+1100C/24h/WQ+CR(50%),SS,FCC,4.0,1,H,47
483,,,AC+1100C/24h/WQ,SS,FCC,4.0,1,"CTE, D, R",48
484,,,AC+CR,SS,FCC,4.0,1,MAG,29
485,,,AC,SS,FCC,4.0,1,H,46
486,,,AC,SS,FCC,4.0,1,"H, M",93
487,,,MA+SPS,SS+IM,FCC+σ,4.0,2,H,3
488,,,AC+1200/24h/WQ,SS,FCC,4.0,1,H,89
489,,,AM (20 m layer),SS,FCC,4.0,1,"CTE, DSC, H, MT",96
490,,,AM (20 m layer)+750C/12h/WQ,SS,FCC,4.0,1,"CTE, DSC, H, MT",96
491,,,AM (20 m layer)+1000C/12h/WQ,SS,FCC,4.0,1,"CTE, DSC, H, MT",96
492,,,AC,SS,FCC,4.0,1,MT,95
493,,,AC+1000C/24h+CR(80%)+1100C/1h,SS,FCC,4.0,1,"H, MT",91
494,,,AC+1000C/24h+CR(80%)+575C/1h,SS,FCC,4.0,1,"H, MT",91
495,,CoCr2FeNi,AC+700C/20h,SS+IM,FCC+,4.0,2,H,37
496,CoCrFeNiPd,CoCrFeNiPd,AC+CR,SS,FCC,5.0,1,MAG,29
497,,CoCrFeNiPd2,AC+CR,SS,FCC,5.0,1,MAG,29
498,CoCrFeNiTi,Co0.5CrFeNiTi0.5,MA+SPS,SS+IM,FCC+σ,5.0,2,M,97
499,,CoCrFeNiTi0.3,AC,SS+IM,FCC+HCP+L12,5.0,3,,38
500,,,AC,SS+IM,FCC+C14+IM+,5.0,4,H,98
501,,,AC+600C/6h/FC,SS+IM,FCC+C14+IM+,5.0,4,H,98
502,,,AC+700C/6h/FC,SS+IM,FCC+C14+IM+,5.0,4,H,98
503,,,AC+800C/6h/FC,SS+IM,FCC+C14+IM+,5.0,4,H,98
504,,,AC+1000C/6h/FC,SS+IM,FCC+IM+,5.0,3,H,98
505,,CoCrFeNiTi,AC,SS,2FCC,5.0,2,,63
506,,,AC,SS+IM,BCC+FCC+E93,5.0,3,,64
507,,,AC+1000C/2h,SS+IM,BCC+FCC+C14+E93+Unk,5.0,5,,64
508,,Co1.5CrFeNi1.5Ti0.5,AC,SS,FCC,5.0,1,C,94
509,,,AC+1100C/4h/AC+800C/10h/AC,SS+IM,FCC+D024,5.0,2,"H, W",62
510,,Co1.5CrFeNi1.5Ti,AC+1100C/4h/AC+800C/10h/AC,SS+IM,FCC+D024,5.0,2,"H, W",62
511,CoCrMnNi,CoCrMnNi,AC+1100/24h/WQ,SS,FCC,4.0,1,H,89
512,CoCrMnNiV,CoCrMnNiV,AC+1000C/72h,SS+IM,FCC+,5.0,2,,81
513,CoCuFeMnNi,CoCuFeMnNi,AC,SS,FCC,5.0,1,"H, MT",99
514,CoCuFeMnNiSn,CoCuFeMnNiSn0.03,AC,SS,FCC,6.0,1,"H, MT",99
515,,CoCuFeMnNiSn0.05,AC,SS+IM,FCC+IM,6.0,2,"H, MT",99
516,,CoCuFeMnNiSn0.08,AC,SS+IM,FCC+IM,6.0,2,"H, MT",99
517,,CoCuFeMnNiSn0.1,AC,SS+IM,FCC+IM,6.0,2,"H, MT",99
518,,CoCuFeMnNiSn0.2,AC,SS+IM,FCC+IM,6.0,2,"H, MT",99
519,CoCuFeNi,CoCuFeNi,MA+SPS,SS,2FCC,4.0,2,H,3
520,,,AC,SS,FCC,4.0,1,MT,100
521,CoCuFeNiSn,CoCuFeNiSn0.04,AC,SS+IM,FCC+IM,5.0,2,MT,100
522,,CoCuFeNiSn0.05,AC,SS+IM,FCC+IM,5.0,2,MT,100
523,,CoCuFeNiSn0.07,AC,SS+IM,FCC+IM,5.0,2,MT,100
524,,CoCuFeNiSn0.1,AC,SS+IM,FCC+IM,5.0,2,MT,100
525,,CoCuFeNiSn0.2,AC,SS+IM,FCC+IM,5.0,2,MT,100
526,,CoCuFeNiSn0.5,AC,SS+IM,FCC+IM,5.0,2,MT,100
527,CoCuFeNiTi,CoCuFeNiTi,AC,SS,FCC,5.0,1,,68
528,CoCuFeNiV,CoCuFeNiV,AC,SS,2FCC,5.0,2,,24
529,CoFeMnMoNi,CoFeMnMoNi,AC+1000C/72h,SS+IM,FCC+D85,5.0,2,,81
530,CoFeMnNi,CoFeMnNi,AC+1100/24h/WQ,SS,FCC,4.0,1,H,89
531,CoFeMnNiV,CoFeMnNiV,AC+1000C/72h,SS+IM,FCC+,5.0,2,,81
532,CoFeMnTiVZr,CoFeMnTi0.5VZr,AC,IM,C14,6.0,1,HY,101
533,,CoFeMnTiV0.4Zr,AC,IM,C14,6.0,1,HY,101
534,,CoFeMnTiV0.7Zr,AC,IM,C14,6.0,1,HY,101
535,,CoFeMnTiVZr0.4,AC,IM,C14,6.0,1,HY,101
536,,CoFeMnTiVZr0.7,AC,IM,C14,6.0,1,HY,101
537,,CoFeMnTiVZr,AC,IM,C14,6.0,1,HY,101
538,,CoFeMnTiVZr1.3,AC,IM,C14,6.0,1,HY,101
539,,CoFeMnTiVZr1.6,AC,IM,C14,6.0,1,HY,101
540,,CoFeMnTiVZr2,AC,IM,C14,6.0,1,HY,101
541,,CoFeMnTiVZr2.3,AC,IM,C14,6.0,1,HY,101
542,,CoFeMnTiVZr2.6,AC,IM,C14,6.0,1,HY,101
543,,CoFeMnTiVZr3,AC,IM,C14,6.0,1,HY,101
544,,CoFeMnTiV1.3Zr,AC,IM,C14,6.0,1,HY,101
545,,CoFeMnTiV1.6Zr,AC,IM,C14,6.0,1,HY,101
546,,CoFeMnTiV2Zr,AC,IM,C14,6.0,1,HY,101
547,,CoFeMnTiV2.3Zr,AC,IM,C14,6.0,1,HY,101
548,,CoFeMnTiV2.6Zr,AC,IM,C14,6.0,1,HY,101
549,,CoFeMnTiV3Zr,AC,IM,C14,6.0,1,HY,101
550,,CoFeMnTi1.5VZr,AC,IM,C14,6.0,1,HY,101
551,,CoFeMnTi2VZr,AC,IM,C14,6.0,1,HY,101
552,,CoFeMnTi2.5VZr,AC,IM,C14,6.0,1,HY,101
553,CoFeNiTi,CoFeNiTi,AC,Unk,FCC+Unk,4.0,2,,68
554,CrCuFeMnNi,Cr0.5CuFeMn0.5Ni,AC,SS,2FCC,5.0,2,,102
555,,Cr0.5CuFeMnNi0.5,AC,SS,BCC+2FCC,5.0,3,,102
556,,CrCu0.5FeMnNi,AC,SS,2FCC,5.0,2,,102
557,,CrCuFe0.5Mn0.5Ni,AC,SS,BCC+2FCC,5.0,3,,102
558,,CrCuFe0.5MnNi0.5,AC,SS,BCC+FCC,5.0,2,,102
559,,CrCuFeMnNi,AC,SS,BCC+2FCC,5.0,3,H,10
560,,,AC,SS,BCC+2FCC,5.0,3,,102
561,,CrCuFeMn2Ni2,AC,SS,FCC,5.0,1,,102
562,,Cr2CuFe2MnNi,AC,SS,BCC+2FCC,5.0,3,,102
563,CrFeMnNi,Cr0.66FeMnNi,AC+1200C/24h/WQ,SS,FCC,4.0,1,MT,103
564,,,AC+1200C/24h/WQ+CR(86%)+900C/1h,SS,FCC,4.0,1,MT,103
565,,CrFe1.5MnNi0.5,AC,SS+IM,BCC+,4.0,2,C,77
566,,,AC,SS+IM,FCC+σ,4.0,2,H,37
567,,,AC+700C/20h,SS+IM,FCC+σ,4.0,2,H,37
568,CrFeMnNiTi,CrFeMnNiTi,AC+1000C/72h,SS+IM,A12+BCC+C14+Unk,5.0,4,,81
570,AlCrMoSiTi,AlCrMoSiTi,AC,IM,B2+D8m,5.0,2,,104
571,AlHfNbTaTiZr,Al0.4Hf0.6NbTaTiZr,AC+HIP/1200C/207MPa/2h+1200C/24h/FC,SS,BCC,6.0,1,"H, M",105
572,,,AC+HIP/1200C/207MPa/2h+1200C/24h/FC,SS,BCC,6.0,1,"D, H, M",106
573,AlMoNbTaTiZr,AlMo0.5NbTa0.5TiZr,AC+HIP/1400C/207MPa/2h+1400C/24h/FC,SS,2BCC,6.0,2,"D, H, M",106
574,,,AC+HIP/1400C/207MPa/2h+1400C/24h/FC,SS+IM,BCC+B2,6.0,2,,107
575,,,AC+HIP/1400C/207MPa/2h+1400C/24h/FC,SS+IM,BCC+B2,6.0,2,,108
576,AlNbTaTiV,Al0.25NbTaTiV,AC,SS,BCC,5.0,1,M,109
577,,Al0.5NbTaTiV,AC,SS,BCC,5.0,1,M,109
578,,AlNbTaTiV,AC,SS,BCC,5.0,1,M,109
579,AlNbTaTiVZr,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,AC+HIP/1200C/207MPa/2h+1200C/24h/FC,SS,BCC,6.0,1,M,106
580,,Al0.5NbTa0.8Ti1.5V0.2Zr,AC+HIP/1200C/207MPa/2h+1200C/24h/FC,SS,2BCC,6.0,2,M,106
581,AlNbTaTiZr,Al0.3NbTaTi1.4Zr1.3,AC+HIP/1200C/207MPa/2h+1200C/24h/FC,SS,2BCC,5.0,2,M,106
582,,AlNb1.5Ta0.5Ti1.5Zr0.5,AC+HIP/1400C/207MPa/2h+1400C/24h/FC,SS,BCC,5.0,1,M,106
583,AlTiVYZr,AlTiVYZr,AC,IM,Unk,5.0,≥3,,24
584,CrMoNbTaTiZr,CrMo0.5NbTa0.5TiZr,AC,SS+IM,2BCC+C15,6.0,3,"D, H, M",110
585,,,AC+HIP/1450C/207MPa/3h,SS+IM,2BCC+C15,6.0,3,"D, H, M",110
586,CrNbTiVZr,CrNbTiVZr,AC+HIP/1200C/207MPa/2h+1200C/24h/FC,SS+IM,BCC+C15,5.0,2,"D, H",111
587,CrNbTiZr,CrNbTiZr,AC+HIP/1200C/207MPa/2h+1200C/24h/FC,SS+IM,BCC+C15,4.0,2,"D, H",111
588,HfNbTaTiZr,HfNbTaTiZr,AC+HIP/1200C/207MPa/3h,SS,BCC+Unk,5.0,2,"D, H, M",112
589,,,AC+HIP/1200C/207MPa/2h+1200C/24h+CR(86%)+800C/2h/FC,SS,2BCC,5.0,2,"H, MT",113
590,,,AC+HIP/1200C/207MPa/2h+1200C/24h+CR(86%)+1000C/2h/FC,SS,BCC,5.0,1,"H, MT",113
591,,,AC+HIP/1200C/207MPa/2h+1200C/24h+CR(86%)+1200C/2h/FC,SS,BCC,5.0,1,"H, MT",113
592,HfNbTiZr,HfNbTiZr,AC,SS,BCC,4.0,1,"DSC, MT",114
593,,,AC+1300C/6h/FC,SS,BCC,4.0,1,"DSC, MT",114
594,MoNbTaVW,MoNbTaVW,AC,SS,BCC,5.0,1,"D, H",115
595,,,AC,SS,BCC,5.0,1,M,116
596,,,AC+1400C/19h,SS,BCC,5.0,1,M,116
597,MoNbTaW,MoNbTaW,AC,SS,BCC,4.0,1,"D, H",115
598,,,AC,SS,BCC,4.0,1,M,116
599,,,AC+1400C/19h,SS,BCC,4.0,1,M,116
600,MoNbTiVZr,MoNbTiV0.25Zr,AC,SS,2BCC,5.0,2,"M, MAG",45
601,,MoNbTiV0.5Zr,AC,SS,2BCC,5.0,2,"M, MAG",45
602,,MoNbTiV0.75Zr,AC,SS,2BCC,5.0,2,"M, MAG",45
603,,MoNbTiVZr,AC,SS,BCC+Unk,5.0,2,"M, MAG",45
604,,MoNbTiV1.5Zr,AC,SS,2BCC,5.0,2,"M, MAG",45
605,,MoNbTiV2Zr,AC,SS,2BCC,5.0,2,"M, MAG",45
606,,MoNbTiV3Zr,AC,SS,2BCC,5.0,2,"M, MAG",45
607,MoNbTiZr,MoNbTiVZr,AC,SS,2BCC,4.0,2,"M, MAG",45
608,NbTaTiV,NbTaTiV,AC,SS,BCC,4.0,1,M,109
609,NbTiVZr,NbTiVZr,AC+HIP/1200C/207MPa/2h+1200C/24h/FC,SS,BCC,4.0,1,"D, H",111
610,,NbTiV2Zr,AC+HIP/1200C/207MPa/2h+1200C/24h/FC,SS,3BCC,4.0,3,"D, H",111
612,AlCuLiMgSn,AlCu0.5Li0.5MgSn0.2,AC,SS+IM,A5+D02+2IM,5.0,4,"D, M",117
613,AlCuLiMgZn,AlCu0.2Li0.5MgZn0.5,AC,IM,IM,5.0,1,"D, M",117
614,,Al16CuLiMgZn,AC,SS+IM,FCC+C16+IM,5.0,3,"D, M",117
615,AlLiMgScTi,AlLiMg0.5ScTi1.5,MA+CP,SS,FCC,5.0,1,H,118
616,,,MA+CP+500C/1h,SS,HCP,5.0,1,H,118
617,AlLiMgSnZn,AlLi0.5MgSn0.2Zn0.5,AC,SS+IM,FCC+D02+2IM,5.0,4,"D, M",117
618,,AlLiMgSnZn,AC,SS+IM,A5+FCC+HCP+D02+IM,5.0,5,"D, M",117
619,,Al16LiMgSnZn,AC,SS+IM,A5+FCC+D02+IM,5.0,4,"D, M",117
621,DyGdLuTbTm,DyGdLuTbTm,AC,SS,HCP+Unk,5.0,2,,119
622,DyGdLuTbY,DyGdLuTbY,AC,SS,HCP+Unk,5.0,2,,119
624,AlBCoCrCuFeNi,Al0.5B0.2CoCrCuFeNi,AC,SS+IM,FCC+IM,7.0,2,"M, W",13
625,,Al0.5B0.6CoCrCuFeNi,AC,SS+IM,FCC+IM,7.0,2,"M, W",13
626,,Al0.5BCoCrCuFeNi,AC,IM,L12+IM,7.0,2,"M, W",13
627,AlCCoCrFeNi,AlC0.1CoCrFeNi,AC,SS+IM,BCC+IM,6.0,2,M,58
628,,AlC0.2CoCrFeNi,AC,SS+IM,BCC+IM,6.0,2,M,58
629,,AlC0.3CoCrFeNi,AC,SS+IM,BCC+IM,6.0,2,M,58
630,,AlC0.4CoCrFeNi,AC,SS+IM,BCC+IM,6.0,2,M,58
631,,AlC0.5CoCrFeNi,AC,SS+IM,BCC+IM,6.0,2,M,58
632,,AlCCoCrFeNi,AC,SS+IM,BCC+Graphite+IM,6.0,3,M,58
633,,AlC1.5CoCrFeNi,AC,SS+IM,BCC+Graphite+IM,6.0,3,M,58
635,AlCuNi,AlCuNi,AC,SS+IM,FCC+B2,3.0,2,,25
636,BeCuNiTiVZr,BeCuNiTiVZr,AC,IM,Unk,6.0,≥2,,24
637,CoCrNi,CoCrNi,AC+1200/24h/WQ,SS,FCC,3.0,1,H,89
638,CoCuHfTiZr,CoCuHfTiZr,MS,SS,AM,5.0,1,"DSC, M",120
